function,category,reason
sn_mcp_server_config,runtime_admin,Agent server configuration rather than analysis execution
sn_method_status,runtime_admin,Method capability inspection rather than analysis execution
sn_pixi_config_path,runtime_admin,Runtime path lookup rather than analysis execution
sn_pixi_paths,runtime_admin,Runtime path lookup rather than analysis execution
sn_prepare_annotation_evidence,interpretation_reporting,Evidence packaging rather than quantitative analysis
sn_prepare_de_evidence,interpretation_reporting,Evidence packaging rather than quantitative analysis
sn_prepare_enrichment_evidence,interpretation_reporting,Evidence packaging rather than quantitative analysis
sn_prepare_pixi_environment,runtime_admin,Runtime preparation rather than analysis execution
sn_prepare_results_evidence,interpretation_reporting,Evidence packaging rather than quantitative analysis
sn_read,io_project,Data input rather than analysis execution
sn_run_llm,interpretation_reporting,Language-model invocation rather than quantitative analysis
sn_set_cibersortx_credentials,runtime_admin,Credential configuration rather than analysis execution
sn_set_layer_backend,io_project,Layer storage conversion rather than analysis execution
sn_set_path,io_project,Filesystem setup rather than analysis execution
sn_store_cell_communication,result_management,Compatibility result storage rather than analysis execution
sn_store_deconvolution,result_management,Compatibility result storage rather than analysis execution
sn_store_enrichment,result_management,Compatibility result storage rather than analysis execution
sn_store_milo,result_management,Compatibility result storage rather than analysis execution
sn_store_regulatory_activity,result_management,Compatibility result storage rather than analysis execution
sn_store_result,result_management,Generic result storage rather than biological analysis
sn_test_llm_provider,interpretation_reporting,Provider connectivity test rather than quantitative analysis
sn_update_signature,signature_management,Signature catalog mutation rather than analysis execution
sn_upgrade_results,result_management,Stored-result governance rather than biological analysis
sn_validate_result,result_management,Stored-result governance rather than biological analysis
sn_validate_result_bundle,result_management,Result handoff governance rather than biological analysis
sn_with_autozyme,acceleration_control,Acceleration lifecycle control rather than analysis execution
sn_write,io_project,Data output rather than analysis execution
sn_write_figure_legend,interpretation_reporting,Narrative reporting rather than visualization execution
sn_write_presentation_summary,interpretation_reporting,Narrative reporting rather than quantitative analysis
sn_write_results,interpretation_reporting,Result export and reporting rather than analysis execution
