function,category,bundle,level,backend,notes,article
sn_plot_ambient_correction,visualization,kotliarov_pbmc,extended,ggplot2,Requires the extended ambient-correction result,vignettes/preprocessing-qc.Rmd
sn_plot_annotation_confidence,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC confidence result,vignettes/annotation-pathways.Rmd
sn_plot_annotation_confusion,visualization,kotliarov_pbmc,core,ggplot2,Disjoint real-reference mapping consistency with recorded provenance,vignettes/annotation-pathways.Rmd
sn_plot_annotation_markers,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC marker genes,vignettes/annotation-pathways.Rmd
sn_plot_barplot,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC summaries,vignettes/composition-analysis.Rmd
sn_plot_boxplot,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC summaries,vignettes/composition-analysis.Rmd
sn_plot_branch_comparison,visualization,hermann_spermatogenesis,core,ggplot2,Real lineage branches,vignettes/trajectory-dynamics.Rmd
sn_plot_bulk_de,visualization,kotliarov_pbmc,core,ggplot2,Real pseudobulk differential result,vignettes/bulk-transcriptomics.Rmd
sn_plot_bulk_pca,visualization,kotliarov_pbmc,core,ggplot2,Real biological-sample pseudobulk,vignettes/bulk-transcriptomics.Rmd
sn_plot_bulk_qc,visualization,kotliarov_pbmc,core,ggplot2,Real biological-sample pseudobulk QC,vignettes/bulk-transcriptomics.Rmd
sn_plot_cluster_tree,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC resolution sweep,vignettes/clustering.Rmd
sn_plot_cnv,visualization,melanoma_bridge,extended,ggplot2,Requires the extended real melanoma CNV result,vignettes/cnv-metabolism.Rmd
sn_plot_communication,visualization,kotliarov_pbmc,extended,ggplot2,Requires the extended real PBMC communication result,vignettes/annotation-pathways.Rmd
sn_plot_communication_comparison,visualization,kotliarov_pbmc,extended,ggplot2,Requires the extended real responder comparison,vignettes/communication-consensus.Rmd
sn_plot_composition,visualization,kotliarov_pbmc,core,ggplot2,Real sample composition,vignettes/composition-analysis.Rmd
sn_plot_de,visualization,kotliarov_pbmc,core,ggplot2,Real 20-sample signed pseudobulk edgeR result,vignettes/bulk-transcriptomics.Rmd
sn_plot_dim,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC embedding,vignettes/clustering.Rmd
sn_plot_discovered_programs,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC programs,vignettes/program-discovery-grn.Rmd
sn_plot_dot,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC markers,vignettes/annotation-pathways.Rmd
sn_plot_doublets,visualization,kotliarov_pbmc,extended,ggplot2,Requires the extended real PBMC doublet result,vignettes/preprocessing-qc.Rmd
sn_plot_dynamic_heatmap,visualization,hermann_spermatogenesis,core,ggplot2,Real dynamic genes,vignettes/trajectory-dynamics.Rmd
sn_plot_elbow,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC PCA,vignettes/clustering.Rmd
sn_plot_enrichment,visualization,kotliarov_pbmc,core,ggplot2,Real signed pseudobulk GOBP GSEA result,vignettes/bulk-transcriptomics.Rmd
sn_plot_fate,visualization,hermann_spermatogenesis,extended,ggplot2,Requires the extended real CellRank fate probabilities,vignettes/velocity-fate.Rmd
sn_plot_feature,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC features,vignettes/visualization.Rmd
sn_plot_gene_trend,visualization,hermann_spermatogenesis,core,ggplot2,Real pseudotime trends,vignettes/trajectory-dynamics.Rmd
sn_plot_gsea,visualization,kotliarov_pbmc,core,ggplot2,Real signed pseudobulk GOBP GSEA result,vignettes/bulk-transcriptomics.Rmd
sn_plot_heatmap,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC expression,vignettes/visualization.Rmd
sn_plot_hvg,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC variable genes,vignettes/clustering.Rmd
sn_plot_integration,visualization,kotliarov_pbmc,core,ggplot2,Real batch integration,vignettes/metrics-diagnostics.Rmd
sn_plot_ligand_target,visualization,kotliarov_pbmc,extended,ggplot2,Requires an extended real ligand-target result,vignettes/communication-consensus.Rmd
sn_plot_lineage_probability,visualization,hermann_spermatogenesis,core,ggplot2,Real lineage probabilities,vignettes/trajectory-dynamics.Rmd
sn_plot_metabolism,visualization,melanoma_bridge,core,ggplot2,Real melanoma metabolism result,vignettes/cnv-metabolism.Rmd
sn_plot_milo,visualization,kotliarov_pbmc,extended,ggplot2,Requires the extended real Milo differential-abundance result,vignettes/composition-analysis.Rmd
sn_plot_program_activity,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC program activity,vignettes/annotation-pathways.Rmd
sn_plot_program_heatmap,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC programs,vignettes/annotation-pathways.Rmd
sn_plot_pseudotime,visualization,hermann_spermatogenesis,core,ggplot2,Real spermatogenic pseudotime,vignettes/trajectory-dynamics.Rmd
sn_plot_qc,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC QC,vignettes/preprocessing-qc.Rmd
sn_plot_qc_thresholds,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC QC thresholds,vignettes/preprocessing-qc.Rmd
sn_plot_reference_projection,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC reference projection,vignettes/annotation-pathways.Rmd
sn_plot_regulon,visualization,kotliarov_pbmc,extended,ggplot2,Requires the extended real regulatory result,vignettes/program-discovery-grn.Rmd
sn_plot_resolution_sweep,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC clustering sweep,vignettes/clustering.Rmd
sn_plot_sample_correlation,visualization,melanoma_bridge,core,ggplot2,Real TCGA samples,vignettes/bulk-transcriptomics.Rmd
sn_plot_scissor,visualization,melanoma_bridge,extended,ggplot2,Requires the extended real Scissor result,vignettes/abundance-priority.Rmd
sn_plot_spatial,visualization,visium_lymph_node,core,ggplot2,Real Visium histology and coordinates,vignettes/spatial-workflows.Rmd
sn_plot_spatial_communication,visualization,visium_lymph_node,extended,ggplot2,Requires an extended real spatial-communication result,vignettes/spatial-workflows.Rmd
sn_plot_spatial_deconvolution,visualization,visium_lymph_node,extended,ggplot2,Requires real cell2location proportions from the extended backend,vignettes/spatial-workflows.Rmd
sn_plot_spatial_domain,visualization,visium_lymph_node,extended,ggplot2,Requires the extended real BANKSY domain result,vignettes/spatial-workflows.Rmd
sn_plot_spatial_feature,visualization,visium_lymph_node,core,ggplot2,Real spatial features,vignettes/spatial-workflows.Rmd
sn_plot_spatial_neighborhood,visualization,visium_lymph_node,core,ggplot2,Real neighborhood result,vignettes/spatial-workflows.Rmd
sn_plot_spatial_svg,visualization,visium_lymph_node,core,ggplot2,Real spatially variable genes,vignettes/spatial-workflows.Rmd
sn_plot_state_priority,visualization,kotliarov_pbmc,core,ggplot2,Real state priorities,vignettes/abundance-priority.Rmd
sn_plot_survival,visualization,melanoma_bridge,core,ggplot2,Real TCGA survival result,vignettes/bulk-transcriptomics.Rmd
sn_plot_trajectory,visualization,hermann_spermatogenesis,core,ggplot2,Real spermatogenic trajectory,vignettes/trajectory-dynamics.Rmd
sn_plot_velocity,visualization,hermann_spermatogenesis,extended,ggplot2,Requires the extended real scVelo dynamics result,vignettes/velocity-fate.Rmd
sn_plot_violin,visualization,kotliarov_pbmc,core,ggplot2,Real PBMC expression,vignettes/visualization.Rmd
sn_plot_wgcna,visualization,melanoma_bridge,extended,ggplot2,Requires the extended real TCGA WGCNA modules,vignettes/bulk-transcriptomics.Rmd
sn_recommend_figure_size,visualization,kotliarov_pbmc,core,Shennong,Size real figures,vignettes/publication-figures.Rmd
sn_save_figure,visualization,kotliarov_pbmc,core,ggplot2,Save real result plots,vignettes/publication-figures.Rmd
sn_validate_figure,visualization,kotliarov_pbmc,core,Shennong,Validate real result figures,vignettes/publication-figures.Rmd
